visitorId,department
04a72dd4b4289086e59731a7f46076b60b4d087e,eletroportateis
04a72dd4b4289086e59731a7f46076b60b4d087e,grill
04a83e32a36a73d516d125ec07eaaa5d6e170f79,depurador
04a83e32a36a73d516d125ec07eaaa5d6e170f79,eletrodomesticos
04ada61c808989143c1b10a7020180fbb7186538,tv
04ada61c808989143c1b10a7020180fbb7186538,tv e video
04ada61c808989143c1b10a7020180fbb7186538,de 39 a 43
04b44e2a12a25ddc77f2590ae483bbb1fe770e5a,fogao
04b44e2a12a25ddc77f2590ae483bbb1fe770e5a,fogao piso 6 bocas
04b44e2a12a25ddc77f2590ae483bbb1fe770e5a,eletrodomesticos
04b958466fb07b4c2c8298ad7bf4bb35db03b908,lg
04b958466fb07b4c2c8298ad7bf4bb35db03b908,celulares e telefones
04b958466fb07b4c2c8298ad7bf4bb35db03b908,smartphones
04c03536f6e66c2123f543997f17d35973863fa9,processador de alimento
04c03536f6e66c2123f543997f17d35973863fa9,intra auricular
04c03536f6e66c2123f543997f17d35973863fa9,eletroportateis
04c03536f6e66c2123f543997f17d35973863fa9,audio
04c03536f6e66c2123f543997f17d35973863fa9,multiprocessador
04c03536f6e66c2123f543997f17d35973863fa9,fone de ouvido
04cb79b9b74fd55173142c430c0e2ecd163040ad,tv
04cb79b9b74fd55173142c430c0e2ecd163040ad,tv e video
04cb79b9b74fd55173142c430c0e2ecd163040ad,de 39 a 43
04d6f9b57b89c91f8518dc8a43f7d42a0af53b85,beleza e saude
04dcef3c85756361547ab56d76775a9d86355d86,climatizador quente e frio
04dcef3c85756361547ab56d76775a9d86355d86,climatizador
04dcef3c85756361547ab56d76775a9d86355d86,eletrodomesticos
04e28a6660415edbec356f79a67968b13e1d5999,tv
04e28a6660415edbec356f79a67968b13e1d5999,tv e video
04e28a6660415edbec356f79a67968b13e1d5999,superior a 60
04e3510d9fccdd05eade31000aa2ee326c331e16,relogios
04e3510d9fccdd05eade31000aa2ee326c331e16,relogio feminino
04e3510d9fccdd05eade31000aa2ee326c331e16,analogico
04f6bd109716b4c2eedfa968cf90d5220b05bdb9,refrigerador
04f6bd109716b4c2eedfa968cf90d5220b05bdb9,eletrodomesticos
04f6bd109716b4c2eedfa968cf90d5220b05bdb9,refrigerador 2 portas
04f8da2364b3df77bba26fb9f418e3eb4d1ffec3,cooktop
04f8da2364b3df77bba26fb9f418e3eb4d1ffec3,eletrodomesticos
04f8da2364b3df77bba26fb9f418e3eb4d1ffec3,domino
0501869ae7b5628d2122e95e12bb0e37ef86d8d7,eletrodomesticos
051d5b22a4e5db454457a55a16edc3a330b46398,secadora acima de 6kg
